ID,name,description,price,category,stock
1,iPhone 15,Iphone 17 Pro,99999.00,Electronics,50
2,Samsung TV,55 inch 4K Smart TV,75000.00,Electronics,30
3,Nike Shoes,Running shoes comfortable,5999.00,Footwear,100
4,Levi's Jeans,Blue slim fit jeans,3999.00,Clothing,75
5,Sony Headphones,Wireless noise cancelling,15000.00,Electronics,45
6,Whirlpool Fridge,Double door 300L fridge,35000.00,Appliances,20
7,Adidas T-Shirt,Dry fit sports t-shirt,1999.00,Clothing,150
8,Prestige Cooker,5 litre pressure cooker,2500.00,Kitchen,60
9,HP Laptop,Core i5 8GB RAM 512GB SSD,65000.00,Electronics,25
10,Bata Sandals,Comfortable daily wear,1299.00,Footwear,200